year,date_,averageT,minT,averageP,SWE,Rhum,model_id,scenario_id,point_id,x,y
1998,1/31/98 0:00,4.660867055,-3.21699969,117.4937541,137.3006083,52.3958,ccsm3,a2,3,-119.5676,37.8217
1999,1/31/99 0:00,4.579649925,-3.075058619,126.7562459,334.9510091,53.751425,ccsm3,a2,3,-119.5676,37.8217
2000,1/31/00 0:00,4.334767342,-3.270833333,96.82292684,260.3971354,52.45213333,ccsm3,a2,3,-119.5676,37.8217
2001,1/31/01 0:00,5.176891645,-2.509499868,144.7020874,482.2711589,49.2357,ccsm3,a2,3,-119.5676,37.8217
2002,1/31/02 0:00,6.686742147,-1.158466816,62.79166667,94.47145589,42.82863333,ccsm3,a2,3,-119.5676,37.8217
2003,1/31/03 0:00,5.091667175,-2.209841728,117.1458333,277.7810059,54.25556667,ccsm3,a2,3,-119.5676,37.8217
2004,1/31/04 0:00,5.584374746,-2.352608204,80.67082723,321.0156047,45.051125,ccsm3,a2,3,-119.5676,37.8217
2005,1/31/05 0:00,6.552234014,-1.623974959,72.77291361,17.25069173,44.76258333,ccsm3,a2,3,-119.5676,37.8217
2006,1/31/06 0:00,5.040950457,-2.653641701,186.8541667,579.019043,52.46771667,ccsm3,a2,3,-119.5676,37.8217
2007,1/31/07 0:00,5.896558762,-2.011741638,74.1729126,153.6646525,44.38939167,ccsm3,a2,3,-119.5676,37.8217
2008,1/31/08 0:00,5.515041987,-2.752050082,126.8083394,200.4023031,45.84926667,ccsm3,a2,3,-119.5676,37.8217
2009,1/31/09 0:00,5.368291855,-2.539758364,135.1937459,296.0116577,50.08554167,ccsm3,a2,3,-119.5676,37.8217
2010,1/31/10 0:00,4.552966754,-3.677158038,129.3958435,419.9753418,48.64665,ccsm3,a2,3,-119.5676,37.8217
2011,1/31/11 0:00,5.148658117,-2.934075038,96.94791667,316.2881877,47.80043333,ccsm3,a2,3,-119.5676,37.8217
2012,1/31/12 0:00,5.635650635,-2.023908456,101.4416707,153.7621155,46.9411,ccsm3,a2,3,-119.5676,37.8217
2013,1/31/13 0:00,5.034899712,-2.707416852,74.91042074,136.1650594,52.268725,ccsm3,a2,3,-119.5676,37.8217
2014,1/31/14 0:00,6.197549184,-0.942049901,71.5249939,52.09515889,54.91235833,ccsm3,a2,3,-119.5676,37.8217
2015,1/31/15 0:00,4.675800006,-3.301750183,114.1770732,171.2871094,50.47134167,ccsm3,a2,3,-119.5676,37.8217
2016,1/31/16 0:00,6.923784256,-1.192466656,92.30001831,138.1205851,45.24749167,ccsm3,a2,3,-119.5676,37.8217
2017,1/31/17 0:00,6.114367167,-1.465858459,72.72083028,138.5546672,47.74813333,ccsm3,a2,3,-119.5676,37.8217
2018,1/31/18 0:00,6.363283793,-1.346824964,123.206248,312.9436442,49.1117,ccsm3,a2,3,-119.5676,37.8217
2019,1/31/19 0:00,5.8362662,-1.769333522,83.66875203,81.95747375,46.59555833,ccsm3,a2,3,-119.5676,37.8217
2020,1/31/20 0:00,5.251349767,-2.429041545,36.20833333,171.3849487,46.35416667,ccsm3,a2,3,-119.5676,37.8217
2021,1/31/21 0:00,5.722824732,-1.777258237,75.09375,47.7076416,51.127275,ccsm3,a2,3,-119.5676,37.8217
2022,1/31/22 0:00,5.967525482,-2.208600044,82.63749695,92.89796956,45.482375,ccsm3,a2,3,-119.5676,37.8217
2023,1/31/23 0:00,6.485558192,-1.305233399,110.6291606,293.1133219,50.31510833,ccsm3,a2,3,-119.5676,37.8217
2024,1/31/24 0:00,5.363791784,-2.496700128,89.24375407,198.62146,49.415225,ccsm3,a2,3,-119.5676,37.8217
2025,1/31/25 0:00,5.887283961,-1.767291387,91.49791463,75.05638631,49.843775,ccsm3,a2,3,-119.5676,37.8217
2026,1/31/26 0:00,5.550849915,-2.202283065,84.09583537,162.7471415,44.80741667,ccsm3,a2,3,-119.5676,37.8217
2027,1/31/27 0:00,5.704683304,-2.479516665,149.1333415,320.977356,55.04554167,ccsm3,a2,3,-119.5676,37.8217
2028,1/31/28 0:00,5.496557872,-2.13075002,81.76458232,369.8782959,46.72359167,ccsm3,a2,3,-119.5676,37.8217
2029,1/31/29 0:00,6.551808675,-1.159291744,74.45625814,121.0432129,45.197025,ccsm3,a2,3,-119.5676,37.8217
2030,1/31/30 0:00,6.860208511,-0.670125087,43.36874898,17.3813235,46.87466667,ccsm3,a2,3,-119.5676,37.8217
2031,1/31/31 0:00,6.161283493,-1.121924957,89.21040853,129.3728638,51.23174167,ccsm3,a2,3,-119.5676,37.8217
2032,1/31/32 0:00,4.977100054,-3.052991549,134.0749919,205.5364787,48.31703333,ccsm3,a2,3,-119.5676,37.8217
