GUID,SCIENTIFIC_NAME,OTHERCATALOGNUMBERS,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,PARTS,DEC_LAT,DEC_LONG,ELEVATION,SEX,ERA
MVZ:Mamm:220020,Tamias alpinus,collector number=23584,,United States,California,"Lower Ottaway Lake, Yosemite National Park",8-Aug-07,tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:207207,Tamias alpinus,collector number=21312,251,United States,California,"Evelyn Lake, Yosemite National Park",18-Jul-04,skull; DNA (frozen); tissue (95% ethanol); study skin,37.80485,-119.32759,3166.872,female,M
MVZ:Mamm:207201,Tamias alpinus,collector number=262,251,United States,California,"Fletcher Lake, Yosemite National Park",13-Jul-04,skull; tissue (95% ethanol); DNA; study skin,37.79982,-119.34177,3072.9936,female,M
MVZ:Mamm:207210,Tamias alpinus,collector number=21316,251,United States,California,"Vogelsang Lake, Yosemite National Park",18-Jul-04,skull; postcranial skeleton; tissue (95% ethanol); DNA (frozen),37.78769,-119.3469,3170.8344,female,M
MVZ:Mamm:222208,Tamias alpinus,collector number=436,,United States,California,"Middle Young Lake, Yosemite National Park",6-Aug-08,study skin; tissue (RNAlater); baculum (95% ethanol),37.93876,-119.34047,3054.096,male,M
MVZ:Mamm:219992,Tamias alpinus,collector number=23430,,United States,California,"Upper Cathedral Lake, Yosemite National Park",21-Jul-07,skull; study skin; baculum; tissue (95% ethanol); DNA; tissue (95% ethanol) sample,37.84117,-119.41206,2984.6016,male,M
MVZ:Mamm:219994,Tamias alpinus,collector number=23447,,United States,California,"Upper Cathedral Lake, Yosemite National Park",22-Jul-07,DNA; tissue (95% ethanol),37.84117,-119.41206,2984.6016,male,M
MVZ:Mamm:220000,Tamias alpinus,collector number=23513,,United States,California,"Lower Ottaway Lake, Yosemite National Park",2-Aug-07,skull; tissue (95% ethanol); baculum; study skin,37.64537,-119.41978,2970.276,male,M
MVZ:Mamm:217181,Tamias alpinus,collector number=22750,,United States,California,"upper Lyell Canyon, Yosemite National Park",12-Aug-06,skull; tissue (95% ethanol); study skin; tissue (95% ethanol) sample,37.76458,-119.25213,3277.8192,female,M
MVZ:Mamm:230246,Tamias alpinus,collector number=404,,United States,California,"~ 400 m SW of May Lake, Yosemite National Park",8-Aug-13,skull; tissue (frozen); tissue (RNAlater),37.98806,-119.75556,2959,female,M
MVZ:Mamm:216270,Tamias alpinus,collector number=22461,,United States,California,"Upper Lyell Canyon, Yosemite National Park",16-Aug-05,skull; DNA (frozen); tissue (95% ethanol); study skin,37.76807,-119.25506,3121.152,female,M
MVZ:Mamm:220002,Tamias alpinus,collector number=23515,,United States,California,"Lower Ottaway Lake, Yosemite National Park",2-Aug-07,skull; tissue (95% ethanol); study skin,37.64537,-119.41978,2970.276,male,M
MVZ:Mamm:217180,Tamias alpinus,collector number=22749,,United States,California,"upper Lyell Canyon, Yosemite National Park",12-Aug-06,skull; tissue (95% ethanol); study skin; tissue (95% ethanol) sample,37.76458,-119.25213,3277.8192,female,M
MVZ:Mamm:207200,Tamias alpinus,collector number=107,151,United States,California,"Fletcher Creek, Yosemite National Park",13-Jul-04,skull; tissue (95% ethanol); DNA; study skin,37.79036,-119.3512,3024.2256,female,M
MVZ:Mamm:207203,Tamias alpinus,collector number=21279,251,United States,California,"Evelyn Lake, Yosemite National Park",16-Jul-04,skull; tissue (95% ethanol); study skin,37.80485,-119.32759,3166.872,female,M
MVZ:Mamm:207204,Tamias alpinus,collector number=21293,251,United States,California,"Evelyn Lake, Yosemite National Park",16-Jul-04,skull; DNA (frozen); tissue (95% ethanol); study skin,37.80485,-119.32759,3166.872,female,M
MVZ:Mamm:219986,Tamias alpinus,collector number=23419,,United States,California,"Upper Cathedral Lake, Yosemite National Park",21-Jul-07,skull; tissue (95% ethanol); study skin,37.84117,-119.41206,2984.6016,male,M
MVZ:Mamm:219999,Tamias alpinus,collector number=23512,,United States,California,"Lower Ottaway Lake, Yosemite National Park",2-Aug-07,skull; study skin; tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:220008,Tamias alpinus,collector number=23525,,United States,California,"Lower Ottaway Lake, Yosemite National Park",3-Aug-07,DNA; tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:220024,Tamias alpinus,collector number=23594,,United States,California,"Lower Ottaway Lake, Yosemite National Park",9-Aug-07,DNA; tissue (95% ethanol),37.64537,-119.41978,2970.276,male,M
MVZ:Mamm:219995,Tamias alpinus,collector number=23448,,United States,California,"Upper Cathedral Lake, Yosemite National Park",22-Jul-07,DNA; tissue (95% ethanol),37.84117,-119.41206,2984.6016,female,M
MVZ:Mamm:220013,Tamias alpinus,collector number=23530,,United States,California,"Lower Ottaway Lake, Yosemite National Park",4-Aug-07,DNA; tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:219998,Tamias alpinus,collector number=23504,,United States,California,"Lower Ottaway Lake, Yosemite National Park",2-Aug-07,skull; tissue (95% ethanol); study skin,37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:222209,Tamias alpinus,collector number=440,,United States,California,"Middle Young Lake, Yosemite National Park",7-Aug-08,study skin; tissue (RNAlater); DNA,37.93876,-119.34047,3054.096,female,M
MVZ:Mamm:216272,Tamias alpinus,collector number=22340,,United States,California,"Upper Return Creek, Virginia Canyon, Yosemite National Park",26-Jul-05,skull; baculum; tissue (95% ethanol); study skin; DNA (frozen),38.06129,-119.33899,3013.8624,male,M
MVZ:Mamm:207202,Tamias alpinus,collector number=265,251,United States,California,"Fletcher Lake, Yosemite National Park",13-Jul-04,skull; tissue (95% ethanol); DNA; study skin,37.79982,-119.34177,3072.9936,female,M
MVZ:Mamm:207209,Tamias alpinus,collector number=21315,251,United States,California,"Vogelsang Lake, Yosemite National Park",18-Jul-04,skull; postcranial skeleton; tissue (95% ethanol); DNA (frozen),37.78769,-119.3469,3170.8344,female,M
MVZ:Mamm:217186,Tamias alpinus,collector number=22768,,United States,California,"upper Lyell Canyon, Yosemite National Park",14-Aug-06,skull; tissue (95% ethanol); study skin,37.76807,-119.25506,3121.152,female,M
MVZ:Mamm:217184,Tamias alpinus,collector number=22757,,United States,California,"upper Lyell Canyon, Yosemite National Park",13-Aug-06,skull; tissue (95% ethanol); baculum; study skin,37.76458,-119.25213,3277.8192,male,M
MVZ:Mamm:219993,Tamias alpinus,collector number=23431,,United States,California,"Upper Cathedral Lake, Yosemite National Park",21-Jul-07,skull; tissue (95% ethanol); DNA; study skin,37.84117,-119.41206,2984.6016,female,M
MVZ:Mamm:220001,Tamias alpinus,collector number=23514,,United States,California,"Lower Ottaway Lake, Yosemite National Park",2-Aug-07,skull; tissue (95% ethanol); baculum; study skin,37.64537,-119.41978,2970.276,male,M
MVZ:Mamm:220023,Tamias alpinus,collector number=23593,,United States,California,"Lower Ottaway Lake, Yosemite National Park",9-Aug-07,DNA; tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:220011,Tamias alpinus,collector number=23528,,United States,California,"Lower Ottaway Lake, Yosemite National Park",4-Aug-07,DNA; tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:217179,Tamias alpinus,collector number=22748,,United States,California,"upper Lyell Canyon, Yosemite National Park",12-Aug-06,skull; study skin; baculum; tissue (95% ethanol); tissue (95% ethanol) sample,37.76458,-119.25213,3277.8192,male,M
MVZ:Mamm:217182,Tamias alpinus,collector number=22751,,United States,California,"upper Lyell Canyon, Yosemite National Park",12-Aug-06,skull; tissue (95% ethanol); baculum; study skin,37.76458,-119.25213,3277.8192,male,M
MVZ:Mamm:220019,Tamias alpinus,collector number=23583,,United States,California,"Lower Ottaway Lake, Yosemite National Park",8-Aug-07,skull; tissue (95% ethanol); baculum; study skin,37.64537,-119.41978,2970.276,male,M
MVZ:Mamm:230241,Tamias alpinus,original identifier=799800,,United States,California,between Vogelsang High Sierra Camp and Vogelsang Lake,7/18/12,"whole organism (formalin-fixed, 70% ethanol); tissue (RNAlater); tissue (RNAlater)",37.7915068,-119.3457483,3115.5,female,M
MVZ:Mamm:216271,Tamias alpinus,collector number=22323,,United States,California,"Upper Return Creek, Virginia Canyon, Yosemite National Park",24-Jul-05,skull; DNA (frozen); tissue (95% ethanol); study skin,38.06129,-119.33899,3013.8624,female,M
MVZ:Mamm:207211,Tamias alpinus,collector number=21317,251,United States,California,"Vogelsang Lake, Yosemite National Park",18-Jul-04,skull; postcranial skeleton; tissue (95% ethanol); DNA (frozen),37.78769,-119.3469,3170.8344,female,M
MVZ:Mamm:217185,Tamias alpinus,collector number=22759,,United States,California,"upper Lyell Canyon, Yosemite National Park",14-Aug-06,skull; tissue (95% ethanol); study skin,37.76458,-119.25213,3277.8192,female,M
MVZ:Mamm:217189,Tamias alpinus,collector number=22777,,United States,California,"upper Lyell Canyon, Yosemite National Park",16-Aug-06,skull; tissue (95% ethanol); baculum; study skin,37.76358,-119.25996,3220.212,male,M
MVZ:Mamm:219997,Tamias alpinus,collector number=23466,,United States,California,"Upper Cathedral Lake, Yosemite National Park",24-Jul-07,skull; tissue (95% ethanol); DNA; study skin,37.84117,-119.41206,2984.6016,female,M
MVZ:Mamm:219989,Tamias alpinus,collector number=23427,,United States,California,"Upper Cathedral Lake, Yosemite National Park",21-Jul-07,skull; tissue (95% ethanol); study skin,37.84117,-119.41206,2984.6016,female,M
MVZ:Mamm:220015,Tamias alpinus,collector number=23542,,United States,California,"Lower Ottaway Lake, Yosemite National Park",4-Aug-07,tissue (95% ethanol),37.64537,-119.41978,2970.276,male,M
MVZ:Mamm:222203,Tamias alpinus,collector number=103,,United States,California,Mono Pass,23-Jul-08,skull; tissue (95% ethanol); baculum; study skin,37.85461,-119.21362,3252.216,male,M
MVZ:Mamm:222207,Tamias alpinus,collector number=435,,United States,California,"Middle Young Lake, Yosemite National Park",6-Aug-08,tissue (RNAlater); study skin,37.93876,-119.34047,3054.096,female,M
MVZ:Mamm:220007,Tamias alpinus,collector number=23524,,United States,California,"Lower Ottaway Lake, Yosemite National Park",3-Aug-07,DNA; tissue (95% ethanol),37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:220010,Tamias alpinus,collector number=23527,,United States,California,"Lower Ottaway Lake, Yosemite National Park",3-Aug-07,skull; tissue (95% ethanol); DNA; study skin,37.64537,-119.41978,2970.276,female,M
MVZ:Mamm:220012,Tamias alpinus,collector number=23529,,United States,California,"Lower Ottaway Lake, Yosemite National Park",4-Aug-07,DNA; tissue (95% ethanol),37.64537,-119.41978,2970.276,male,M
MVZ:Mamm:230238,Tamias alpinus,collector number=281,,United States,California,Approximately 200 m NE of Upper Cathedral Lake,9/27/11,"whole organism (formalin-fixed, 70% ethanol); tissue (RNAlater); tissue (RNAlater)",37.8411798,-119.4125176,2944,male,M
MVZ:Mamm:230245,Tamias alpinus,,,United States,California,"On ridge between Upper and Lower Cathedral Lakes, ~ 300 m N of Upper Cathedral Lake",9/10/13,"skull; tissue (RNAlater); tissue (RNAlater); whole organism (formalin-fixed, 70% ethanol)",37.8430484,-119.4162793,2932.6,female,M
MVZ:Mamm:207212,Tamias alpinus,collector number=1398,101,United States,California,"outlet stream, Vogelsang Lake, Yosemite National Park",17-Jul-04,skull; tissue (95% ethanol); DNA; study skin,37.78949,-119.3465,3105.6072,female,M
MVZ:Mamm:217187,Tamias alpinus,collector number=22769,,United States,California,"upper Lyell Canyon, Yosemite National Park",14-Aug-06,skin clip (95% ethanol); DNA; tissue (95% ethanol); tissue (95% ethanol) sample,37.75675,-119.25855,3264.408,female,M
MVZ:Mamm:217190,Tamias alpinus,collector number=52,,United States,California,"Ten Lakes Pass, Yosemite National Park",24-Aug-06,whole organism (ethanol); tissue (95% ethanol),37.9029,-119.53512,2937.0528,unknown,M
MVZ:Mamm:219996,Tamias alpinus,collector number=23453,,United States,California,"Upper Cathedral Lake, Yosemite National Park",23-Jul-07,skull; tissue (95% ethanol); DNA; study skin,37.84117,-119.41206,2984.6016,female,M
MVZ:Mamm:222202,Tamias alpinus,collector number=24335,,United States,California,"Middle Young Lake, Yosemite National Park",5-Aug-08,study skin; tissue (95% ethanol); DNA (frozen),37.93876,-119.34047,3054.096,female,M
MVZ:Mamm:220017,Tamias alpinus,collector number=23563,,United States,California,"Lower Ottaway Lake, Yosemite National Park",6-Aug-07,tissue (95% ethanol),37.64537,-119.41978,2970.276,male,M
MVZ:Mamm:201430,Tamias alpinus,GenBank=JN042463; collector number=20304,230,United States,California,"upper Lyell Canyon, Yosemite National Park",29-Jul-03,skull; DNA (frozen); tissue (95% ethanol); study skin,37.76807,-119.25506,3121.152,female,M
MVZ:Mamm:220009,Tamias alpinus,collector number=23526,,United States,California,"Lower Ottaway Lake, Yosemite National Park",3-Aug-07,DNA; tissue (95% ethanol),37.64537,-119.41978,2970.276,male,M
MVZ:Mamm:22674,Tamias alpinus,collector number=483,645,United States,California,"Tuolumne Meadows, Yosemite National Park",6-Jul-15,skull; study skin; DNA,37.8794,-119.39498,2621.28,male,H
MVZ:Mamm:22680,Tamias alpinus,collector number=493,645,United States,California,"Tuolumne Meadows, Yosemite National Park",8-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,2621.28,female,H
MVZ:Mamm:22690,Tamias alpinus,collector number=511,162,United States,California,"head of Lyell Canyon, Yosemite National Park",16-Jul-15,skull; study skin; DNA; skeleton,37.7769743,-119.2608776,2956.56,female,H
MVZ:Mamm:23326,Tamias alpinus,collector number=3474,163,United States,California,"Mt. Clark, Yosemite National Park",22-Aug-15,skull; DNA; study skin,37.70453,-119.43229,3048,female,H
MVZ:Mamm:23346,Tamias alpinus,collector number=1517,821,United States,California,"Ten Lakes, Yosemite National Park",8-Oct-15,skull; study skin; DNA,37.90351,-119.52754,2804.16,female,H
MVZ:Mamm:22706,Tamias alpinus,collector number=2285,500,United States,California,"Soda Springs, Tuolumne Meadows, Yosemite National Park",30-Jul-15,skull; study skin,37.8785,-119.3665,2621.28,female,H
MVZ:Mamm:22675,Tamias alpinus,collector number=2149,645,United States,California,"Tuolumne Meadows, Yosemite National Park",6-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,2621.28,male,H
MVZ:Mamm:22693,Tamias alpinus,collector number=537,162,United States,California,"head of Lyell Canyon, Yosemite National Park",17-Jul-15,skull; study skin; DNA; skeleton,37.7769743,-119.2608776,2956.56,male,H
MVZ:Mamm:23348,Tamias alpinus,collector number=1530,821,United States,California,"Ten Lakes, Yosemite National Park",11-Oct-15,skull; study skin; DNA,37.90351,-119.52754,2804.16,male,H
MVZ:Mamm:22673,Tamias alpinus,collector number=474,645,United States,California,"Tuolumne Meadows, Yosemite National Park",5-Jul-15,skull; DNA; study skin,37.8794,-119.39498,2621.28,female,H
MVZ:Mamm:22677,Tamias alpinus,collector number=2155,645,United States,California,"Tuolumne Meadows, Yosemite National Park",6-Jul-15,skull; study skin; DNA,37.87941,-119.39498,2621.28,male,H
MVZ:Mamm:22691,Tamias alpinus,collector number=516,162,United States,California,"head of Lyell Canyon, Yosemite National Park",17-Jul-15,skull; study skin; DNA; skeleton,37.7769743,-119.2608776,2956.56,female,H
MVZ:Mamm:22704,Tamias alpinus,collector number=565,162,United States,California,"head of Lyell Canyon, Yosemite National Park",25-Jul-15,skull; DNA; study skin,37.7721809,-119.2574555,3048,female,H
MVZ:Mamm:23330,Tamias alpinus,collector number=7485,404,United States,California,Vogelsang Lake,4-Sep-15,skull; DNA; study skin,37.78762,-119.34099,3154.68,male,H
MVZ:Mamm:23331,Tamias alpinus,collector number=7486,195,United States,California,"Fletcher Creek, near Vogelsang Lake, Yosemite National Park",4-Sep-15,skull; DNA; study skin,37.79417,-119.34413,3078.48,male,H
MVZ:Mamm:23318,Tamias alpinus,collector number=7308,30,United States,California,"Mt. Florence Ridge, Yosemite National Park",20-Aug-15,skull; DNA; study skin,37.736228,-119.311539,3048,female,H
MVZ:Mamm:22681,Tamias alpinus,collector number=494,645,United States,California,"Tuolumne Meadows, Yosemite National Park",8-Jul-15,skull; study skin; DNA,37.87941,-119.39498,2621.28,male,H
MVZ:Mamm:22689,Tamias alpinus,collector number=518,645,United States,California,"Tuolumne Meadows, Yosemite National Park",13-Jul-15,skull; DNA; study skin,37.87941,-119.39498,2621.28,female,H
MVZ:Mamm:22692,Tamias alpinus,collector number=520,162,United States,California,"head of Lyell Canyon, Yosemite National Park",17-Jul-15,skull; DNA; skeleton; study skin,37.7637043,-119.2526439,3261.36,female,H
MVZ:Mamm:22701,Tamias alpinus,collector number=2260,162,United States,California,"head of Lyell Canyon, Yosemite National Park",24-Jul-15,skull; DNA; skeleton; study skin,37.7721809,-119.2574555,3048,female,H
MVZ:Mamm:22667,Tamias alpinus,collector number=460,534,United States,California,"0.25 mi SE summit Mt. Hoffman, Yosemite National Park",30-Jun-15,skull; study skin; skeleton,37.84744,-119.50227,3230.88,female,H
MVZ:Mamm:23332,Tamias alpinus,collector number=7496,404,United States,California,Vogelsang Lake,6-Sep-15,skull; DNA; study skin,37.78762,-119.34099,3154.68,female,H
MVZ:Mamm:22688,Tamias alpinus,collector number=2169,645,United States,California,"Tuolumne Meadows, Yosemite National Park",10-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,2621.28,female,H
MVZ:Mamm:22697,Tamias alpinus,collector number=558,162,United States,California,"head of Lyell Canyon, Yosemite National Park",23-Jul-15,skull; DNA; study skin,37.7741135,-119.2597501,2987.04,male,H
MVZ:Mamm:24137,Tamias alpinus,collector number=4931,166,United States,California,Mono Pass,24-Jun-16,skull; DNA; study skin,37.85969,-119.2027,3048,male,H
MVZ:Mamm:23327,Tamias alpinus,collector number=3500,1176,United States,California,"near Vogelsang Peak, Yosemite National Park",26-Aug-15,skull; DNA; study skin,37.77156,-119.33816,2987.04,male,H
MVZ:Mamm:23345,Tamias alpinus,collector number=7716,499,United States,California,"ridge near Ten Lakes, Yosemite National Park",9-Oct-15,skull; study skin; DNA,37.90351,-119.53543,2956.56,female,H
MVZ:Mamm:22686,Tamias alpinus,collector number=500,645,United States,California,"Tuolumne Meadows, Yosemite National Park",9-Jul-15,skull; study skin; DNA,37.87941,-119.39498,2621.28,male,H
MVZ:Mamm:23347,Tamias alpinus,collector number=1523,821,United States,California,"Ten Lakes, Yosemite National Park",9-Oct-15,skull; study skin; DNA,37.90351,-119.52754,2804.16,female,H
MVZ:Mamm:23349,Tamias alpinus,collector number=1531,30,United States,California,"near Ten Lakes, Yosemite National Park",11-Oct-15,skull; study skin; DNA,37.900597,-119.510463,2926.08,female,H
MVZ:Mamm:22684,Tamias alpinus,collector number=1373,30,United States,California,"Young Lake near Ragged Peak, Yosemite National Park",9-Jul-15,skull; DNA (frozen); study skin,37.93776,-119.345037,3002.28,male,H
MVZ:Mamm:22678,Tamias alpinus,collector number=2154,645,United States,California,"Tuolumne Meadows, Yosemite National Park",7-Jul-15,skull; DNA; study skin,37.87941,-119.39498,2621.28,male,H
MVZ:Mamm:22687,Tamias alpinus,collector number=502,645,United States,California,"Tuolumne Meadows, Yosemite National Park",9-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,2621.28,female,H
MVZ:Mamm:22694,Tamias alpinus,collector number=2211,162,United States,California,"head of Lyell Canyon, Yosemite National Park",17-Jul-15,skull; study skin; DNA; skeleton,37.7721809,-119.2574555,3048,female,H
MVZ:Mamm:22698,Tamias alpinus,collector number=559,162,United States,California,"head of Lyell Canyon, Yosemite National Park",23-Jul-15,skull; DNA; study skin,37.7721809,-119.2574555,3048,female,H
MVZ:Mamm:22703,Tamias alpinus,collector number=2268,162,United States,California,"head of Lyell Canyon, Yosemite National Park",25-Jul-15,skull; DNA; skeleton; study skin,37.7721809,-119.2574555,3048,male,H
MVZ:Mamm:22670,Tamias alpinus,collector number=2117,534,United States,California,"0.25 mi SE summit Mt. Hoffman, Yosemite National Park",30-Jun-15,skull; study skin; DNA (frozen); skeleton,37.84744,-119.50227,3230.88,male,H
MVZ:Mamm:22668,Tamias alpinus,collector number=2115,534,United States,California,"0.25 mi SE summit Mt. Hoffman, Yosemite National Park",30-Jun-15,skull; study skin; skeleton,37.84744,-119.50227,3230.88,male,H
MVZ:Mamm:23325,Tamias alpinus,collector number=3473,163,United States,California,"Mt. Clark, Yosemite National Park",22-Aug-15,skull; DNA; study skin,37.70453,-119.43229,3048,male,H
