GUID,SCIENTIFIC_NAME,OTHERCATALOGNUMBERS,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,PARTS,DEC_LAT,DEC_LONG,ELEVATION,SEX,ERA
MVZ:Mamm:23340,Tamias alpinus,collector number=1484,645,United States,California,"Tioga Rd. near Dana Fork, Yosemite National Park",28-Sep-15,skull; DNA (frozen); study skin,37.88249,-119.27289,2895.6,female,H
MVZ:Mamm:23320,Tamias alpinus,collector number=7310,30,United States,California,"Mt. Florence Ridge, Yosemite National Park",21-Aug-15,skull; DNA; study skin,37.736228,-119.311539,3048,female,H
MVZ:Mamm:22679,Tamias alpinus,collector number=491,645,United States,California,"Tuolumne Meadows, Yosemite National Park",8-Jul-15,skull; study skin; DNA; skeleton,37.8794,-119.39498,2621.28,female,H
MVZ:Mamm:22682,Tamias alpinus,collector number=2163,645,United States,California,"Tuolumne Meadows, Yosemite National Park",9-Jul-15,skull; study skin; DNA,37.87941,-119.39498,2621.28,male,H
MVZ:Mamm:22699,Tamias alpinus,collector number=2252,162,United States,California,"head of Lyell Canyon, Yosemite National Park",23-Jul-15,skull; study skin; DNA; skeleton,37.7896535,-119.2610089,2743.2,female,H
MVZ:Mamm:22954,Tamias alpinus,collector number=550,162,United States,California,"head of Lyell Canyon, Yosemite National Park",22-Jul-15,skull; study skin; whole organism (ethanol),37.7741135,-119.2597501,2987.04,male,H
MVZ:Mamm:23324,Tamias alpinus,collector number=3472,163,United States,California,"Mt. Clark, Yosemite National Park",22-Aug-15,skull; DNA; study skin,37.70453,-119.43229,3048,male,H
MVZ:Mamm:23329,Tamias alpinus,collector number=3568,404,United States,California,Vogelsang Lake,31-Aug-15,skull; DNA; study skin,37.78762,-119.34099,3154.68,male,H
MVZ:Mamm:23333,Tamias alpinus,collector number=3583,30,United States,California,"on Dana Fork, Yosemite National Park",7-Sep-15,skull; study skin; DNA,37.893099,-119.255868,2941.32,male,H
MVZ:Mamm:23342,Tamias alpinus,collector number=1511,238,United States,California,"Glen Aulin, Tuolumne River, Yosemite National Park",5-Oct-15,skull; DNA (frozen); study skin,37.91206,-119.42135,2377.44,male,H
MVZ:Mamm:23350,Tamias alpinus,collector number=1533,188,United States,California,"Ten Lakes, Yosemite National Park",10-Oct-15,skull; study skin; DNA,37.90468,-119.53179,2834.64,male,H
MVZ:Mamm:23321,Tamias alpinus,collector number=3469,163,United States,California,"Mt. Clark, Yosemite National Park",22-Aug-15,skull; DNA; study skin,37.70453,-119.43229,3048,female,H
MVZ:Mamm:23322,Tamias alpinus,collector number=3470,163,United States,California,"Mt. Clark, Yosemite National Park",22-Aug-15,skull; DNA; study skin,37.70453,-119.43229,3048,female,H
MVZ:Mamm:23319,Tamias alpinus,collector number=7309,30,United States,California,"Mt. Florence Ridge, Yosemite National Park",21-Aug-15,skull; DNA; study skin,37.736228,-119.311539,3048,male,H
MVZ:Mamm:22683,Tamias alpinus,collector number=2164,308,United States,California,"3 mi N Tuolumne Meadows above Soda Springs, Yosemite National Park",9-Jul-15,skull; DNA; study skin,37.9125,-119.3477,3139.44,male,H
MVZ:Mamm:22662,Tamias alpinus,collector number=456,305,United States,California,"near summit Mt. Hoffman, Yosemite National Park",28-Jun-15,skull; DNA (frozen); study skin,37.846919,-119.509466,3246.12,male,H
MVZ:Mamm:23344,Tamias alpinus,collector number=7701,499,United States,California,"Ten Lakes Trail above Ten Lakes, Yosemite National Park",6-Oct-15,skull; study skin; DNA,37.90351,-119.53543,2956.56,male,H
MVZ:Mamm:22695,Tamias alpinus,collector number=2216,162,United States,California,"head of Lyell Canyon, Yosemite National Park",18-Jul-15,skull; DNA; skeleton; study skin,37.7637043,-119.2526439,3261.36,female,H
MVZ:Mamm:22676,Tamias alpinus,collector number=2150,645,United States,California,"Tuolumne Meadows, Yosemite National Park",6-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,2621.28,female,H
MVZ:Mamm:22705,Tamias alpinus,collector number=2278,162,United States,California,"head of Lyell Canyon, Yosemite National Park",26-Jul-15,skull; study skin; DNA; skeleton,37.7769743,-119.2608776,2956.56,male,H
MVZ:Mamm:22665,Tamias alpinus,collector number=3420,484,United States,California,"0.25 mi SE summit Mt. Hoffmann, Yosemite National Park",30-Jun-15,skull; DNA (frozen); study skin,37.84439,-119.50555,3139.44,male,H
MVZ:Mamm:23343,Tamias alpinus,collector number=1524,805,United States,California,"Colby Mt., Yosemite National Park",9-Oct-15,skull; study skin; DNA,37.911191,-119.538101,2956.56,female,H
MVZ:Mamm:22671,Tamias alpinus,collector number=1319,534,United States,California,"0.25 mi SE summit Mt. Hoffman, Yosemite National Park",30-Jun-15,skull; study skin,37.84744,-119.50227,3230.88,male,H
MVZ:Mamm:22702,Tamias alpinus,collector number=2267,162,United States,California,"head of Lyell Canyon, Yosemite National Park",25-Jul-15,skull; DNA; study skin,37.76684,-119.2561983,3108.96,female,H
MVZ:Mamm:22669,Tamias alpinus,collector number=2116,534,United States,California,"0.25 mi SE summit Mt. Hoffman, Yosemite National Park",30-Jun-15,skull; study skin; DNA (frozen); skeleton,37.84744,-119.50227,3230.88,male,H
MVZ:Mamm:22663,Tamias alpinus,collector number=3413,701,United States,California,"0.5 mi SW Mt. Hoffman, Yosemite National Park",28-Jun-15,skull; study skin; skeleton,37.842428,-119.516665,3108.96,male,H
MVZ:Mamm:22696,Tamias alpinus,collector number=2241,162,United States,California,"head of Lyell Canyon, Yosemite National Park",21-Jul-15,skull; DNA; skeleton; study skin,37.7618351,-119.2497509,3352.8,female,H
MVZ:Mamm:22700,Tamias alpinus,collector number=1424,162,United States,California,"head of Lyell Canyon, Yosemite National Park",24-Jul-15,skull; DNA; study skin,37.7769743,-119.2608776,2956.56,female,H
MVZ:Mamm:22672,Tamias alpinus,collector number=2138,645,United States,California,"Tuolumne Meadows, Yosemite National Park",5-Jul-15,skull; DNA; study skin,37.87941,-119.39498,2621.28,male,H
MVZ:Mamm:22664,Tamias alpinus,collector number=3419,484,United States,California,"0.25 mi SE summit Mt. Hoffmann, Yosemite National Park",30-Jun-15,skull; study skin; DNA,37.84439,-119.50555,3169.92,male,H
MVZ:Mamm:23328,Tamias alpinus,collector number=7406,227,United States,California,"McClure Fork of Merced River [=Lewis Creek], Yosemite National Park",29-Aug-15,skull; study skin; DNA,37.75463,-119.35694,2804.16,male,H
MVZ:Mamm:22666,Tamias alpinus,collector number=3421,484,United States,California,"0.25 mi SE summit Mt. Hoffmann, Yosemite National Park",30-Jun-15,skull; DNA (frozen); study skin,37.84439,-119.50555,3139.44,female,H
MVZ:Mamm:22685,Tamias alpinus,collector number=499,645,United States,California,"Tuolumne Meadows, Yosemite National Park",9-Jul-15,skull; study skin; DNA,37.87941,-119.39498,2621.28,male,H
MVZ:Mamm:23323,Tamias alpinus,collector number=3471,163,United States,California,"Mt. Clark, Yosemite National Park",22-Aug-15,skull; DNA; study skin,37.70453,-119.43229,3048,female,H
MVZ:Mamm:23341,Tamias alpinus,collector number=7673,805,United States,California,"Cold Canyon, Yosemite National Park",2-Oct-15,skull; DNA; study skin,37.913034,-119.41582,2438.4,male,H
