cat.num,species,elev.m,sex,era,specific.locality,latitude,longitude,pc1,face.proj,neuro.proj
23402,Tamias speciosus,2956.56,F,H,Warren Fork,37.96746,-119.2434,47.35106858,37.06778787,27.31353552
23404,Tamias speciosus,2377.44,F,H,Glen Aulin,37.91206,-119.42135,51.31948828,40.1139779,29.75484092
23409,Tamias speciosus,2895.6,F,H,unknown,37.934294,-119.423148,52.16844187,40.4535348,30.82447813
23410,Tamias speciosus,2377.44,F,H,Glen Aulin,37.91206,-119.42135,51.86340206,40.26727346,30.56180884
23411,Tamias speciosus,2377.44,F,H,Glen Aulin,37.91206,-119.42135,52.11340361,40.39809926,30.72739455
23412,Tamias speciosus,2377.44,M,H,Glen Aulin,37.91206,-119.42135,52.47559412,40.52019085,31.13927202
23414,Tamias speciosus,2804.16,M,H,Ten Lakes,37.90351,-119.52754,52.37786199,40.38483313,31.07726121
23415,Tamias speciosus,2804.16,F,H,Ten Lakes,37.90351,-119.52754,51.96055115,40.47364385,30.27178983
23416,Tamias speciosus,2956.56,M,H,Ten Lakes,37.90351,-119.53543,51.18370816,39.9175898,29.93847561
23418,Tamias speciosus,1950.72,M,H,Aspen Valley,37.827725,-119.771211,53.52453176,41.91580732,31.01066755
23420,Tamias speciosus,1950.72,F,H,Aspen Valley,37.827725,-119.771211,54.6469417,41.75972203,32.87160669
23421,Tamias speciosus,1950.72,F,H,Aspen Valley,37.827725,-119.771211,52.8077875,40.62454356,31.41280537
23422,Tamias speciosus,1950.72,F,H,Aspen Valley,37.827725,-119.771211,51.49113732,40.1856176,30.06033881
23423,Tamias speciosus,1950.72,M,H,Aspen Valley,37.827725,-119.771211,52.30235307,41.17047802,30.25926403
23424,Tamias speciosus,1950.72,M,H,Aspen Valley,37.827725,-119.771211,51.82549712,40.67395441,30.01335497
23425,Tamias speciosus,1950.72,M,H,Aspen Valley,37.827725,-119.771211,52.01075344,40.23386787,30.6418904
23426,Tamias speciosus,1767.84,F,H,unknown,37.7352363,-119.7034868,52.05612082,40.8593243,30.16881115
23427,Tamias speciosus,1767.84,F,H,unknown,37.7352363,-119.7034868,52.33087202,40.13680311,31.37719449
23428,Tamias speciosus,2026.92,F,H,unknown,37.75854,-119.59886,51.87862168,40.45856277,30.24864179
24382,Tamias speciosus,NA,F,H,unknown,37.203909,-119.236458,49.21033998,38.22772391,28.7787862
24385,Tamias speciosus,2133.6,F,H,Huntington,37.2317,-119.235,52.97154073,41.51722881,30.67953889
24387,Tamias speciosus,2133.6,F,H,Huntington,37.2317,-119.235,52.91892418,40.8520546,31.36863224
216338,Tamias speciosus,2691.384,M,M,Juniper Ridge,37.88325,-119.3605,50.54043455,39.34227379,29.39195425
201450,Tamias speciosus,1886.4072,M,M,Crane Flat,37.75515,-119.80015,51.32365912,39.85743243,30.20613447
201451,Tamias speciosus,1886.4072,F,M,Crane Flat,37.75515,-119.80015,52.86408765,41.19671633,30.95729828
201452,Tamias speciosus,1923.5928,M,M,Crane Flat,37.75139,-119.79149,52.56319371,41.27610338,30.16781613
201453,Tamias speciosus,1923.5928,F,M,Crane Flat,37.75139,-119.79149,50.80171519,39.97884597,29.22652374
201454,Tamias speciosus,1923.5928,F,M,Crane Flat,37.75139,-119.79149,54.1187746,41.48772984,32.37068231
201455,Tamias speciosus,1886.4072,M,M,Crane Flat,37.75515,-119.80015,51.48821274,39.97671056,30.50246556
201456,Tamias speciosus,1923.5928,M,M,Crane Flat,37.75139,-119.79149,52.47382601,41.10088609,30.45219032
201457,Tamias speciosus,1923.5928,M,M,Crane Flat,37.75139,-119.79149,52.53891333,41.0330251,30.54321087
201458,Tamias speciosus,1923.5928,M,M,Crane Flat,37.75139,-119.79149,53.24156855,41.40032896,31.29732837
201459,Tamias speciosus,1923.5928,M,M,Crane Flat,37.75139,-119.79149,52.08977336,40.22649867,31.11596266
201460,Tamias speciosus,1923.5928,M,M,Crane Flat,37.75139,-119.79149,52.63337501,40.6583727,31.25264822
201461,Tamias speciosus,1923.5928,F,M,Crane Flat,37.75139,-119.79149,53.36723771,41.56446028,31.32776283
201462,Tamias speciosus,1900,F,M,Crane Flat,37.75731,-119.80131,52.95756008,41.6334808,30.60700977
201463,Tamias speciosus,1874.52,F,M,Crane Flat,37.75048,-119.79423,52.55429878,40.52433966,31.22223719
201464,Tamias speciosus,1874.52,M,M,Crane Flat,37.75048,-119.79423,52.05014771,40.7789129,30.13518439
201466,Tamias speciosus,NA,F,M,Crane Flat,37.74995,-119.79336,51.64427626,40.31558413,30.08257371
201467,Tamias speciosus,1899,F,M,Crane Flat,37.74597,-119.7993,51.41934419,39.6352276,30.49164659
201468,Tamias speciosus,2106.168,F,M,Crane Flat (?),37.75775,-119.7699,53.93190977,42.12697732,31.63984438
201471,Tamias speciosus,2106.168,M,M,Crane Flat (?),37.75775,-119.7699,51.57061561,40.52562158,29.72395895
201472,Tamias speciosus,2106.168,M,M,Crane Flat (?),37.75775,-119.7699,53.34000093,40.96854175,31.82486947
